inclose a letter of introduction,Captain Frazer of H. M's. Ship ,,,,,
There is no news here worth repeating,you, â€” ^but I was exceed- ,,,,
ingly glad,hear, the other day, from Dr. Jeeker, that he is quite ,,
this because, altho' he may have said the same,you, patients some- ,,,
times do not place as much confidence in what Doctor's say,them ,,,,,
about their case, as in what they say,a third party. I have no ,,,,
doubt that you will have found great benefit,your general health ,,,,,
by the change,a Milder Climate. ,,,,,
Do not forget your promise,write,me frcwn time,time, and ,,
may be thought advisable,make,the Mexican Govt. ,,,,
This conviction induced me,write,"Genl. Hamilton in Dec."" ",,,,
last,the following effect ,,,,,
"Texas, upon a scale likely,lead,important results, but I am 
 tional Territory by a Foreign force would not fail",rouse the latent ,,,,,
" energies of the Country and induce the Mexicans,submit,ex- 
 thus give rise",a state of things far more likely,retard than to ,,,,
This advice I now repeat,you as the friend and well-wisher of ,,,,,
Texas, and if you should incline,the same opinion I trust that you ,,,,
will be able,make it prevail in the proper quarter. ,,,,,
Â«The 12th. See the letter Inclosed In Hamilton,Burnet, January 5 1840,,,,
which I have endeavoured,get,you, or some one of your vessels, ,,
by every effort and precaution in ray power,make from this place. ,,,,,
Whether I shall succeed or not remains,be seen. If you get it ,,,,,
at aU^ it will probably be,day. ,,,,,
I send this down,Vera Cruz,avail of any oppty. that may ,,,,
present itself,send out,You, for I have been disappointed in ,,,
able,do when I last wrote you. ,,,,,
The Packet was,have sailed from Vera Cruz this day, but has ,,,,
Packers Courier^ and negotiation, the matter has been settled,the ,,,,
I begin again,morrow and shall know in a very few days how the ,,,,,
stanter for the Coast and endeavour,find you, or one of your Ves- ,,,,
one of your Vessels, to receive further communications from me. 1 ,,,,,
am also much gratified that you found it convenient,despatch thus ,,,,,
promptly the San Jacinto with my conmiunications,Govmt. Should ,,,,,
Â« Inadvertently written for 30tb. See Inclosed copy referred to. ,,,,,,
from Govmt. which, to me^ will be very gratifying, as my latest dates ,,,,
offered,any Mexican Vessel or property by the Squadron, which I ,,,,
formation of several cases of annoyance, which they affect,believe, ,,,
at anchor near the shore, about 8 leagues,the Northward of Va. ,,,,
A recent account which has been sent up,Govmt. states that ,,,,,
which has been sent up,Govmt. Another statement is that your ,,,,,
those above named seem,be credited by the Govmt. and the two first ,,,,,
stated being o-fficial^ they have a right,assume, that they are true, ,,,
than because they are of any importance,me here, as I am situated ,,,,
I notice that you will continue,keep a Vessel at the place named, ,,,,
I have not written you until now, as no oppty. has presented to ,,,,,
with them the project of an Armistice^ and have agreed,wait one ,,,,,
the parties come,a conclusion. ,,,,,
agreed,wait a week for the result. ,,,,,
place appointed, if there; if not, shall make the best of my way to ,,,,
I send this down,Va. Cruz, to go out,you by the Am. Packet ,,,
look out for the English Packet, to sail from Vera Cruz the same^ ,,,,,
opportunity offers, send a copy of this,Govt., as its contents will ,,,
Wright,Lamar.&lt;Â» ,,,,,
been Remaining for the last two years in order,gather every in- ,,,,,
formation of our common enemy (Mexico) Relative,the good or ,,,,,
From time,time I Remitted,Texas and,Col Bee, of what I ,,
Late five million Loan, they will be unable,accomplish nothing ,,,,
money and an army must be Raised,go against Texas. But so soon ,,,,,
as they have this money secured, they hush up apply the money to ,,,,,
other purposes, generaly,the agrandizement of themselves or party. ,,,,
Mexico nothing was said of an expedition,Texas. Nothing said ,,,,,
Relative,their Fleet. In Guadalajara I found nothing doing, in ,,,,
ognise Texas,the very last extreme. I am afraid she will be too ,,,,,
stood that the Mexicans were at present Like,commit hostilities ,,,,,
the Texian Government,provide against such hostilities, which I ,,,,
Mayfield,Webb.^ ,,,,,
the Republic of Texas,the Republic of Mexico, I have the Honor ,,,,
Armed Vessels, to take you and your suite,Vera Cruz, or sudi other ,,,
Country and Mexico, and the primary object of your Mission is to ,,,,,
of that Mediation as it is hoped, will lead,the establishment of a ,,,,
Mr Packenham Her Britannic Majestys Minister at Mexico, as to ,,,,,
the preliminary measures, you may find it necessary,adopt, and ,,,
Upon your reaching the Mexican Coast, you will make known to ,,,,,
the Commandant of the place, at which you shall seek,land, through ,,,
templated by the convention,which I have ref er'd you ; and in the ,,,,,
mean time, you will remain in Port, if permitted,do so untill you ,,,
receive answers,your despatches Otherwise you will proceed to ,,,,,
times freely give such instructions,the Officer who will be in Com- ,,,,,
instructions he will take you from place,place as circumstances ,,,,,
you will consider the letter addressed by the Department,the Hon. ,,,,,
It has suggested itself,the President that in your discussi(Â»is ,,,,,
cult,adjust growing out of the locality of the harbor known as the ,,,,,
Brasos Santiago and its importance,the Rio Grande, as being the ,,,,
It is certainly not,be expected that Mexico will willin^y yield the ,,,,,
entire control of a port, so essential,the existence of aU oMnmer- ,,,,
cial advantages which she may expect,derive from the Navigation ,,,,,
ceding,us that River, as the proper boundary between the two coun- ,,,,
tries, when no other would be deemed of sufficient importance,be ,,,,
will urge the right,the exercise of such exclusive Control over the ,,,,,
of too much importance,the Prosperity of Texas, to permit us to ,,,,
essential right. I am therefore instructed by the President,say to ,,,,,
you, that should Mexico claim the right,the free use of the Brasos ,,,,
Santiago as a Sine qua non,a treaty of peace and recc^nition, you ,,,,
are at liberty,concede it, so far as,stipulate that she shall have ,,,
the free right,enter it with her vessels and commerce at all times ,,,,,
and as freely depart from it, without being subject,any of the rules ,,,,
ulation of its own commerce and that she shall also be entitled,scnnc ,,,,,
dises and produce, and,a free transit across the land for such Mer- ,,,,
chandises and produce,the 'most convenient point for shipment ,,,,,
upon the Rio Grande : and that these priviledges shall be continued to ,,,,,,
River shall remain under the Control of and belong,her Govern- ,,,,,
longer under the Control of her authorities, such stipulaticm is to ,,,,,
as open,negotiation with the power that may then clakn the joint ,,,,,
right with Texas,Navigate the River. As the continuance of unin- ,,,,,
tance,both, should their present difficulties be adjusted, you may ,,,
for the purpose of shewing our desire,promote it, stipulate that this ,,,,
It is not considered necessary in this communication,advert in ,,,,,
detail,the various points which should be embraced in a treaty, ,,,,
is essential,its prosperity, and the President relying upon your ,,,,
fully confides,you its details under the fullest assurance that the ,,,,,
disposition manifested by those with whom you are treating,pro- ,,,,,
inclinacion for adjustment, you will at any moment be at liberty to ,,,,,
bring them,a close and return home and will not be required to ,,,,,
wait for special permission,do so from this Department. This ,,,,,
however must be left entirely,the exercise of a sound discretion, ,,,,
which while it will dictate the propriety of putting an end,useless ,,,,,
suggest,you the impropriety of urging with intemperate haste and ,,,,,
If you are not permitted,open negotiations with the Government ,,,,,
of Mexico, or having opened them, should find it necessary,dis- ,,,
ing this Government of the fact be at liberty, to return by the way of ,,,,,
would be willing,take in a war which Texas might be compelled to ,,,,,
furnished with authority,enter into any treaty stipulations, but ,,,,
you may suggest,the authorities the propriety of their sending an ,,,,,
agent,this Government with full powers,treat and you may ,,,,
give them assurances of our friendship and willingness,receive ,,,,,
importance as those with which you are charged,the Government ,,,,,
of Mexico, to a final and satisfactory conclusion, the President is ,,,,
structions,furnish you with Authority,draw either directly upon ,,,,
but it is expected that this right,draw for funds will not be exor- ,,,,,
cised except you find it absolutely essential,your success. ,,,,,
duties you have undertaken and a safe return,your Coimtry and ,,,,,
I have the honor,remain ,,,,,
potentiary and Envoy Extraordinary, and as Agent,Mexico, cre- ,,,
dentials as each, same as credentials,Col Bee 1839.Â« ,,,,
Copy of Instructions,Col Bee as agent,Mexico 1839 *^ ,,,,
Extract of instructions,Jas Treat Esq ^ ,,,,,
Secret Joint Resolution, relative,Mexico * ,,,,
Authority,draw on Hamilton and Burnley f ,,,,,
Act,define Boundaries of Texas.* ,,,,,
Letter of credence,Mr. Pakenham * ,,,,,
of like documents issued,Bee, February 20 1830,,,,
Â« See Webb,Bee, February 20 1839,,,,
' The instructions were contained in Burnet,Treat, August 9 1839,,,,
i May field,Pakenham, March 30 1841,,,,
Mayfield,"Pakbnham."" ",,,,,
Government which has entered into treaty with Texas,act as ,,,,,
dinary and minister plenipotentiary from Texas,Mexico.] ,,,,,
Abista,Lamab.^ ,,,,,
Webb,Moba.*' ,,,,,
Webb,Pakenham.* ,,,,,
Lamab,Inhabitants of New Mexico East of the Rio Gbande.* ,,,,,
Camacho,Pakenham.' ,,,,,
Pakenham,Webb.^ ,,,,,
Pakenham,Mayfield.^ ,,,,,
Bobeets,Cooke and oiHEns.* ,,,,,
missioners on the part of the Government, to accompany the Military ,,,,,
expedition about,depart for Santa fe, and of which you will have ,,,,
â€¢ May 31 1841,,,,,,
'Jane 1Â» 1841. See correspondence inclosed with Webb,Mayfield, June 29 1841,,,,
^ June 8 1841,,,,,,
â€¢ June 10 1841,,,,,,
our limits; but as that portion is inhabited by a people strangers to ,,,,,,
our institutions and,our system of Government, speaking a differ- ,,,,
The great object of the President is,attach the people of the ,,,,,
District of Santa H,our system of Government, to create in their ,,,,
minds a reverence for our Constitution, and,spread among them, ,,,
opposition from others, is not unlikely. It is even,be expected. ,,,,
Upon entering the city of Santa fe, your first object will be, to ,,,,
endeavour,get into your hands all the public property. You will ,,,,,
duties, to perform. Should those intrusted with the care of public ,,,,,
Tiroperty, hesitate or refuse,comply with your demand of posses- ,,,,
sion, you will try all gentle means before resorting,force. Per- ,,,,
it becomes us,avoid, if possible, the shedding of blood. The ,,,
will and consent, to submit quietly and cheerfully,an incorpora- ,,,,
driven,it by the application of Military power, the disasterous con- ,,,,
limits published,the world, we have obtained the acknowledge- ,,,,
tion of this Government,assert and maintain its Jurisdiction over ,,,,,
every inch of its soil, and of its ability too, to carry its resolve into ,,,,
you should be particularly careful, not,rouse the jealous pride of ,,,,
the people ; and,avoid this, you must keep constantly before their ,,,,
minds the fact that they are invited,share equally with us all the ,,,,,
are really,be freeman, that they are,be citizens of a Republic, ,,
Legislature will be in proportion,their numbers, which will insure ,,,,
